wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_variabl,q_stemmed_has_girl,q_stemmed_has_need,q_stemmed_has_held,q_stemmed_has_constant,q_stemmed_has_control,q_stemmed_has_throw,q_stemmed_has_ball,q_stemmed_has_use,q_stemmed_has_launch,q_stemmed_has_techniqu,q_stemmed_has_variabl_girl,q_stemmed_has_girl_need,q_stemmed_has_need_held,q_stemmed_has_held_constant,q_stemmed_has_constant_control,q_stemmed_has_control_girl,q_stemmed_has_need_throw,q_stemmed_has_throw_ball,q_stemmed_has_ball_use,q_stemmed_has_use_launch,q_stemmed_has_launch_techniqu,q_stemmed_has_variabl_girl_need,q_stemmed_has_girl_need_held,q_stemmed_has_need_held_constant,q_stemmed_has_held_constant_control,q_stemmed_has_constant_control_girl,q_stemmed_has_control_girl_need,q_stemmed_has_girl_need_throw,q_stemmed_has_need_throw_ball,q_stemmed_has_throw_ball_use,q_stemmed_has_ball_use_launch,q_stemmed_has_use_launch_techniqu,q_stem_ordered_has_ball,q_stem_ordered_has_constant,q_stem_ordered_has_control,q_stem_ordered_has_girl,q_stem_ordered_has_held,q_stem_ordered_has_launch,q_stem_ordered_has_need,q_stem_ordered_has_techniqu,q_stem_ordered_has_throw,q_stem_ordered_has_use,q_stem_ordered_has_variabl,q_stem_ordered_has_ball_constant,q_stem_ordered_has_constant_control,q_stem_ordered_has_control_girl,q_stem_ordered_has_girl_girl,q_stem_ordered_has_girl_held,q_stem_ordered_has_held_launch,q_stem_ordered_has_launch_need,q_stem_ordered_has_need_need,q_stem_ordered_has_need_techniqu,q_stem_ordered_has_techniqu_throw,q_stem_ordered_has_throw_use,q_stem_ordered_has_use_variabl,q_stem_ordered_has_ball_constant_control,q_stem_ordered_has_constant_control_girl,q_stem_ordered_has_control_girl_girl,q_stem_ordered_has_girl_girl_held,q_stem_ordered_has_girl_held_launch,q_stem_ordered_has_held_launch_need,q_stem_ordered_has_launch_need_need,q_stem_ordered_has_need_need_techniqu,q_stem_ordered_has_need_techniqu_throw,q_stem_ordered_has_techniqu_throw_use,q_stem_ordered_has_throw_use_variabl
0.27272727272727276,0.3333333333333333,0.25,0.4523,0.3333333333333333,0.25,0.4523,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3636363636363636,0.4166666666666667,0.3333333333333333,0.5394,0.4166666666666667,0.3333333333333333,0.5394,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.6111111111111112,0.2222222222222222,0.3636,0.6111111111111112,0.2222222222222222,0.3636,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.27272727272727276,0.35714285714285715,0.14285714285714285,0.2697,0.35714285714285715,0.14285714285714285,0.2697,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636365,0.42857142857142855,0.21428571428571427,0.3693,0.42857142857142855,0.21428571428571427,0.3693,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45454545454545453,0.42857142857142855,0.21428571428571427,0.3693,0.42857142857142855,0.21428571428571427,0.3693,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8181818181818181,0.5,0.1875,0.3198,0.5,0.1875,0.3198,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7272727272727273,0.5263157894736842,0.10526315789473684,0.1907,0.5263157894736842,0.10526315789473684,0.1907,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45454545454545453,0.35294117647058826,0.0,0.0,0.35294117647058826,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45454545454545453,0.35714285714285715,0.14285714285714285,0.2697,0.35714285714285715,0.14285714285714285,0.2697,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
