wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_harder,q_stemmed_has_coin,q_stemmed_has_scratch,q_stemmed_has_harder_coin,q_stemmed_has_coin_scratch,q_stemmed_has_harder_coin_scratch,q_stem_ordered_has_coin,q_stem_ordered_has_harder,q_stem_ordered_has_scratch,q_stem_ordered_has_coin_harder,q_stem_ordered_has_harder_scratch,q_stem_ordered_has_coin_harder_scratch
0.2222222222222222,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.8,0.4,0.5774,0.8,0.4,0.5774,1,0,1,0,0,0,0,1,1,0,0,0
0.2222222222222222,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.3333333333333333,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.2222222222222222,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
1.0,0.9,0.2,0.3849,0.9,0.2,0.3849,1,0,1,0,0,0,0,1,1,0,0,0
0.2222222222222222,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.6666666666666665,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.7777777777777777,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,1,0,0,0,0,0,0,1,0,0,0,0
0.3333333333333333,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,1,0,0,0,0,0,0,1,0,0,0,0
0.5555555555555556,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.3333333333333333,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
1.0,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,1,0,1,0,0,0,0,1,1,0,0,0
0.5555555555555556,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.4444444444444445,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,1,0,0,0,0,0,1,0,0,0
0.4444444444444445,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.2222222222222222,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.1111111111111111,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.2222222222222222,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.8888888888888888,0.75,0.125,0.2357,0.75,0.125,0.2357,0,0,1,0,0,0,0,0,1,0,0,0
0.1111111111111111,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.5555555555555556,0.8571428571428571,0.2857142857142857,0.4714,0.8571428571428571,0.2857142857142857,0.4714,1,0,1,0,0,0,0,1,1,0,0,0
0.4444444444444445,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,1,0,0,0,0,0,1,0,0,0
0.3333333333333333,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.1111111111111111,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
