wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_lee,q_stemmed_has_loos,q_stemmed_has_wire,q_stemmed_has_object,q_stemmed_has_complet,q_stemmed_has_circuit,q_stemmed_has_lee_loos,q_stemmed_has_loos_wire,q_stemmed_has_wire_object,q_stemmed_has_object_loos,q_stemmed_has_object_object,q_stemmed_has_object_complet,q_stemmed_has_complet_circuit,q_stemmed_has_lee_loos_wire,q_stemmed_has_loos_wire_object,q_stemmed_has_wire_object_loos,q_stemmed_has_object_loos_wire,q_stemmed_has_wire_object_object,q_stemmed_has_object_object_complet,q_stemmed_has_object_complet_circuit,q_stem_ordered_has_circuit,q_stem_ordered_has_complet,q_stem_ordered_has_lee,q_stem_ordered_has_loos,q_stem_ordered_has_object,q_stem_ordered_has_wire,q_stem_ordered_has_circuit_complet,q_stem_ordered_has_complet_lee,q_stem_ordered_has_lee_loos,q_stem_ordered_has_loos_loos,q_stem_ordered_has_loos_object,q_stem_ordered_has_object_object,q_stem_ordered_has_object_wire,q_stem_ordered_has_wire_wire,q_stem_ordered_has_circuit_complet_lee,q_stem_ordered_has_complet_lee_loos,q_stem_ordered_has_lee_loos_loos,q_stem_ordered_has_loos_loos_object,q_stem_ordered_has_loos_object_object,q_stem_ordered_has_object_object_object,q_stem_ordered_has_object_object_wire,q_stem_ordered_has_object_wire_wire
0.30000000000000004,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.625,0.375,0.5477,0.625,0.375,0.5477,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.6923076923076923,0.15384615384615385,0.2722,0.6923076923076923,0.15384615384615385,0.2722,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.5833333333333334,0.08333333333333333,0.1543,0.5833333333333334,0.08333333333333333,0.1543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
