student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
The were like feathers they were tiny little overlapping squares.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,like feathers tiny little overlapping squares,like feather tini littl overlap squar,feather like littl overlap squar tini
It look like feathers.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,look like feathers,look like feather,feather like look
Looks like salt that has fizz on in it.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,looks like salt fizz,look like salt fizz,fizz like look salt
They were squares with Xs.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,squares xs,squar xs,squar xs
The salt crystals shape is a square.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,salt crystals shape square,salt crystal shape squar,crystal salt shape squar
Square with X in it.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,square x,squar x,squar x
"They are white, sparkly, if you put 5 or 10 together you can make a pile.",The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,white sparkly 5 10 pile,white sparkli 5 10 pile,10 5 pile sparkli white
It is a square with little Xs on it.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,square little xs,squar littl xs,littl squar xs
Squares with Xs in the middle.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,squares xs middle,squar xs middl,middl squar xs
They would be a square with a X on it.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,square x,squar x,squar x
A box and in X in the box.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,box x box,box x box,box box x
4 squares one X.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,4 squares x,4 squar x,4 squar x
If I put saltwater in a dish it evaporate over heat and turns to salt crystals.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,saltwater dish evaporate heat turns salt crystals,saltwat dish evapor heat turn salt crystal,crystal dish evapor heat salt saltwat turn
Organized cubes with X.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,organized cubes x,organ cube x,cube organ x
With Xs.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,xs,xs,xs
The salt crystals leaves a Xs.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,salt crystals leaves xs,salt crystal leav xs,crystal leav salt xs
It was while you could see through square.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,square,squar,squar
"They all look the same, but some of them look different and then really small.",The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,look look different small,look look differ small,differ look look small
It is shaped like a diamond and it looks like a diamond.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,shaped like diamond looks like diamond,shape like diamond look like diamond,diamond diamond like like look shape
Squares with the Xs on them.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,squares xs,squar xs,squar xs
Square has X on it little X.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,square x little x,squar x littl x,littl squar x x
They are like little boxes with Xs on them.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,like little boxes xs,like littl box xs,box like littl xs
They are squared with Xs in them.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,squared xs,squar xs,squar xs
They are squares with Xs in them.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,squares xs,squar xs,squar xs
The salt was made of crystals because crystals have Xs.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,salt crystals crystals xs,salt crystal crystal xs,crystal crystal salt xs
It is a square and Xs on it.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,square xs,squar xs,squar xs
The salt crystals has Xs in the middle of the square.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,salt crystals xs middle square,salt crystal xs middl squar,crystal middl salt squar xs
The salt crystal is a square shape with a X in the middle.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,salt crystal square shape x middle,salt crystal squar shape x middl,crystal middl salt shape squar x
Is just tiny and big because of crystals.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,tiny big crystals,tini big crystal,big crystal tini
I do not know.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,know,know,know
I do not know.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,know,know,know
They have a square with a X in it.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,square x,squar x,squar x
It is shaped as square and has an X in the middle.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,shaped square x middle,shape squar x middl,middl shape squar x
They have X in them.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,x,x,x
The salt has the letter X.,The salt crystals are squares with Xs on top.,0,77,The were like feathers they were tiny little overlapping squares.,salt letter x,salt letter x,letter salt x
The salt crystals are squares with Xs on top.,The salt crystals are squares with Xs on top.,1,77,The were like feathers they were tiny little overlapping squares.,salt crystals squares xs,salt crystal squar xs,crystal salt squar xs
