wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_measur,q_stemmed_has_equal,q_stemmed_has_mass,q_stemmed_has_walnut,q_stemmed_has_peanut,q_stemmed_has_smash,q_stemmed_has_sampl,q_stemmed_has_uniformli,q_stemmed_has_size,q_stemmed_has_area,q_stemmed_has_brown,q_stemmed_has_paper,q_stemmed_has_wait,q_stemmed_has_time,q_stemmed_has_measur_equal,q_stemmed_has_equal_mass,q_stemmed_has_mass_walnut,q_stemmed_has_walnut_peanut,q_stemmed_has_peanut_smash,q_stemmed_has_smash_sampl,q_stemmed_has_sampl_uniformli,q_stemmed_has_uniformli_size,q_stemmed_has_size_area,q_stemmed_has_area_brown,q_stemmed_has_brown_paper,q_stemmed_has_paper_wait,q_stemmed_has_wait_time,q_stemmed_has_time_sampl,q_stemmed_has_measur_equal_mass,q_stemmed_has_equal_mass_walnut,q_stemmed_has_mass_walnut_peanut,q_stemmed_has_walnut_peanut_smash,q_stemmed_has_peanut_smash_sampl,q_stemmed_has_smash_sampl_uniformli,q_stemmed_has_sampl_uniformli_size,q_stemmed_has_uniformli_size_area,q_stemmed_has_size_area_brown,q_stemmed_has_area_brown_paper,q_stemmed_has_brown_paper_wait,q_stemmed_has_paper_wait_time,q_stemmed_has_wait_time_sampl,q_stem_ordered_has_area,q_stem_ordered_has_brown,q_stem_ordered_has_equal,q_stem_ordered_has_mass,q_stem_ordered_has_measur,q_stem_ordered_has_paper,q_stem_ordered_has_peanut,q_stem_ordered_has_sampl,q_stem_ordered_has_size,q_stem_ordered_has_smash,q_stem_ordered_has_time,q_stem_ordered_has_uniformli,q_stem_ordered_has_wait,q_stem_ordered_has_walnut,q_stem_ordered_has_area_brown,q_stem_ordered_has_brown_equal,q_stem_ordered_has_equal_mass,q_stem_ordered_has_mass_measur,q_stem_ordered_has_measur_paper,q_stem_ordered_has_paper_peanut,q_stem_ordered_has_peanut_sampl,q_stem_ordered_has_sampl_sampl,q_stem_ordered_has_sampl_size,q_stem_ordered_has_size_smash,q_stem_ordered_has_smash_time,q_stem_ordered_has_time_uniformli,q_stem_ordered_has_uniformli_wait,q_stem_ordered_has_wait_walnut,q_stem_ordered_has_area_brown_equal,q_stem_ordered_has_brown_equal_mass,q_stem_ordered_has_equal_mass_measur,q_stem_ordered_has_mass_measur_paper,q_stem_ordered_has_measur_paper_peanut,q_stem_ordered_has_paper_peanut_sampl,q_stem_ordered_has_peanut_sampl_sampl,q_stem_ordered_has_sampl_sampl_size,q_stem_ordered_has_sampl_size_smash,q_stem_ordered_has_size_smash_time,q_stem_ordered_has_smash_time_uniformli,q_stem_ordered_has_time_uniformli_wait,q_stem_ordered_has_uniformli_wait_walnut
0.47368421052631576,0.5,0.13636363636363635,0.2417,0.5,0.13636363636363635,0.2417,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47368421052631576,0.5714285714285714,0.23809523809523808,0.3858,0.5714285714285714,0.23809523809523808,0.3858,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3157894736842105,0.47368421052631576,0.21052631578947367,0.3563,0.47368421052631576,0.21052631578947367,0.3563,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3157894736842105,0.4,0.1,0.189,0.4,0.1,0.189,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7894736842105263,0.64,0.2,0.3341,0.64,0.2,0.3341,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15789473684210525,0.3157894736842105,0.05263157894736842,0.1091,0.3157894736842105,0.05263157894736842,0.1091,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4210526315789474,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15789473684210525,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21052631578947367,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3684210526315789,0.45454545454545453,0.09090909090909091,0.169,0.45454545454545453,0.09090909090909091,0.169,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
