wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_circuit,q_stemmed_has_complet,q_stemmed_has_electr,q_stemmed_has_pathway,q_stemmed_has_broken,q_stemmed_has_circuit_complet,q_stemmed_has_complet_electr,q_stemmed_has_electr_pathway,q_stemmed_has_pathway_broken,q_stemmed_has_circuit_complet_electr,q_stemmed_has_complet_electr_pathway,q_stemmed_has_electr_pathway_broken,q_stem_ordered_has_broken,q_stem_ordered_has_circuit,q_stem_ordered_has_complet,q_stem_ordered_has_electr,q_stem_ordered_has_pathway,q_stem_ordered_has_broken_circuit,q_stem_ordered_has_circuit_complet,q_stem_ordered_has_complet_electr,q_stem_ordered_has_electr_pathway,q_stem_ordered_has_broken_circuit_complet,q_stem_ordered_has_circuit_complet_electr,q_stem_ordered_has_complet_electr_pathway
0.6000000000000001,0.5,0.125,0.2236,0.5,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0000000000000002,0.5454545454545454,0.0,0.0,0.5454545454545454,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
