wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_water,q_stemmed_has_heat,q_stemmed_has_faster,q_stemmed_has_cover,q_stemmed_has_water_heat,q_stemmed_has_heat_faster,q_stemmed_has_faster_cover,q_stemmed_has_water_heat_faster,q_stemmed_has_heat_faster_cover,q_stem_ordered_has_cover,q_stem_ordered_has_faster,q_stem_ordered_has_heat,q_stem_ordered_has_water,q_stem_ordered_has_cover_faster,q_stem_ordered_has_faster_heat,q_stem_ordered_has_heat_water,q_stem_ordered_has_cover_faster_heat,q_stem_ordered_has_faster_heat_water
0.07692307692307693,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.15384615384615385,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3076923076923077,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.23076923076923078,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.07692307692307693,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.23076923076923078,0.625,0.125,0.2236,0.625,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.15384615384615385,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.3076923076923077,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.07692307692307693,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3076923076923077,0.625,0.125,0.2236,0.625,0.125,0.2236,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3076923076923077,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.15384615384615385,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.23076923076923078,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.07692307692307693,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.46153846153846156,0.7777777777777778,0.2222222222222222,0.378,0.7777777777777778,0.2222222222222222,0.378,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.3846153846153847,0.7,0.1,0.189,0.7,0.1,0.189,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.07692307692307693,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0.23076923076923078,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0.23076923076923078,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
0.23076923076923078,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.07692307692307693,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0.3076923076923077,0.75,0.25,0.4082,0.75,0.25,0.4082,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
0.6923076923076924,0.9,0.3,0.5,0.9,0.3,0.5,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
0.07692307692307693,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5384615384615384,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1.0,1.0,0.4,0.6325,1.0,0.4,0.6325,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
0.3076923076923077,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3846153846153847,0.7,0.1,0.189,0.7,0.1,0.189,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.46153846153846156,0.7,0.1,0.189,0.7,0.1,0.189,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
