wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_shadow,q_stemmed_has_chang,q_stemmed_has_day,q_stemmed_has_earth,q_stemmed_has_turn,q_stemmed_has_sun,q_stemmed_has_stay,q_stemmed_has_place,q_stemmed_has_shadow_chang,q_stemmed_has_chang_day,q_stemmed_has_day_earth,q_stemmed_has_earth_turn,q_stemmed_has_turn_sun,q_stemmed_has_sun_stay,q_stemmed_has_stay_place,q_stemmed_has_shadow_chang_day,q_stemmed_has_chang_day_earth,q_stemmed_has_day_earth_turn,q_stemmed_has_earth_turn_sun,q_stemmed_has_turn_sun_stay,q_stemmed_has_sun_stay_place,q_stem_ordered_has_chang,q_stem_ordered_has_day,q_stem_ordered_has_earth,q_stem_ordered_has_place,q_stem_ordered_has_shadow,q_stem_ordered_has_stay,q_stem_ordered_has_sun,q_stem_ordered_has_turn,q_stem_ordered_has_chang_day,q_stem_ordered_has_day_earth,q_stem_ordered_has_earth_place,q_stem_ordered_has_place_shadow,q_stem_ordered_has_shadow_stay,q_stem_ordered_has_stay_sun,q_stem_ordered_has_sun_turn,q_stem_ordered_has_chang_day_earth,q_stem_ordered_has_day_earth_place,q_stem_ordered_has_earth_place_shadow,q_stem_ordered_has_place_shadow_stay,q_stem_ordered_has_shadow_stay_sun,q_stem_ordered_has_stay_sun_turn
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24999999999999997,0.5555555555555556,0.4444444444444444,0.6325,0.5555555555555556,0.4444444444444444,0.6325,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.24999999999999997,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5384615384615384,0.15384615384615385,0.2673,0.5384615384615384,0.15384615384615385,0.2673,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0.24999999999999997,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.3,0.1,0.2041,0.3,0.1,0.2041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.46153846153846156,0.07692307692307693,0.1443,0.46153846153846156,0.07692307692307693,0.1443,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2222222222222222,0.1111111111111111,0.25,0.2222222222222222,0.1111111111111111,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24999999999999997,0.5,0.3,0.4743,0.5,0.3,0.4743,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333334,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
