wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_water,q_stemmed_has_splash,q_stemmed_has_fork,q_stemmed_has_vibrat,q_stemmed_has_sound,q_stemmed_has_water_splash,q_stemmed_has_splash_fork,q_stemmed_has_fork_vibrat,q_stemmed_has_vibrat_vibrat,q_stemmed_has_vibrat_sound,q_stemmed_has_water_splash_fork,q_stemmed_has_splash_fork_vibrat,q_stemmed_has_fork_vibrat_vibrat,q_stemmed_has_vibrat_vibrat_sound,q_stem_ordered_has_fork,q_stem_ordered_has_sound,q_stem_ordered_has_splash,q_stem_ordered_has_vibrat,q_stem_ordered_has_water,q_stem_ordered_has_fork_sound,q_stem_ordered_has_sound_splash,q_stem_ordered_has_splash_vibrat,q_stem_ordered_has_vibrat_vibrat,q_stem_ordered_has_vibrat_water,q_stem_ordered_has_fork_sound_splash,q_stem_ordered_has_sound_splash_vibrat,q_stem_ordered_has_splash_vibrat_vibrat,q_stem_ordered_has_vibrat_vibrat_water
0.9,0.75,0.16666666666666666,0.2981,0.75,0.16666666666666666,0.2981,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.7000000000000001,0.6666666666666666,0.08333333333333333,0.1581,0.6666666666666666,0.08333333333333333,0.1581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1,0.4,0.4,0.6325,0.4,0.4,0.6325,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0.20000000000000004,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1
0.30000000000000004,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
0.20000000000000004,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.30000000000000004,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
0.20000000000000004,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7000000000000001,0.75,0.375,0.5477,0.75,0.375,0.5477,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
