wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_string,q_stemmed_has_shorter,q_stemmed_has_pitch,q_stemmed_has_higher,q_stemmed_has_string_shorter,q_stemmed_has_shorter_pitch,q_stemmed_has_pitch_higher,q_stemmed_has_string_shorter_pitch,q_stemmed_has_shorter_pitch_higher,q_stem_ordered_has_higher,q_stem_ordered_has_pitch,q_stem_ordered_has_shorter,q_stem_ordered_has_string,q_stem_ordered_has_higher_pitch,q_stem_ordered_has_pitch_shorter,q_stem_ordered_has_shorter_string,q_stem_ordered_has_higher_pitch_shorter,q_stem_ordered_has_pitch_shorter_string
0.2857142857142857,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.14285714285714285,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.4285714285714285,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.7142857142857143,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.14285714285714285,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9999999999999999,0.7777777777777778,0.2222222222222222,0.378,0.7777777777777778,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4285714285714285,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0.14285714285714285,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.5714285714285714,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4285714285714285,0.625,0.125,0.2236,0.625,0.125,0.2236,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4285714285714285,0.8,0.6,0.75,0.8,0.6,0.75,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
0.2857142857142857,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.14285714285714285,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5714285714285714,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.14285714285714285,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.8,0.6,0.75,0.8,0.6,0.75,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
0.4285714285714285,1.0,0.8,0.8944,1.0,0.8,0.8944,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1
0.2857142857142857,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0.2857142857142857,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.14285714285714285,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
