wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_embryo,q_stemmed_has_contain,q_stemmed_has_tini,q_stemmed_has_leav,q_stemmed_has_root,q_stemmed_has_plant,q_stemmed_has_embryo_contain,q_stemmed_has_contain_tini,q_stemmed_has_tini_leav,q_stemmed_has_leav_root,q_stemmed_has_root_plant,q_stemmed_has_embryo_contain_tini,q_stemmed_has_contain_tini_leav,q_stemmed_has_tini_leav_root,q_stemmed_has_leav_root_plant,q_stem_ordered_has_contain,q_stem_ordered_has_embryo,q_stem_ordered_has_leav,q_stem_ordered_has_plant,q_stem_ordered_has_root,q_stem_ordered_has_tini,q_stem_ordered_has_contain_embryo,q_stem_ordered_has_embryo_leav,q_stem_ordered_has_leav_plant,q_stem_ordered_has_plant_root,q_stem_ordered_has_root_tini,q_stem_ordered_has_contain_embryo_leav,q_stem_ordered_has_embryo_leav_plant,q_stem_ordered_has_leav_plant_root,q_stem_ordered_has_plant_root_tini
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
