student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
To make sound.,The elytra are used to make sounds.,1,41,To make sound.,sound,sound,sound
To make noise.,The elytra are used to make sounds.,1,41,To make sound.,noise,nois,nois
Another function is to protect.,The elytra are used to make sounds.,0,41,To make sound.,function protect,function protect,function protect
To make sounds.,The elytra are used to make sounds.,1,41,To make sound.,sounds,sound,sound
To protect.,The elytra are used to make sounds.,0,41,To make sound.,protect,protect,protect
It is to work and the abdomen?,The elytra are used to make sounds.,0,41,To make sound.,work abdomen,work abdomen,abdomen work
Their soft body.,The elytra are used to make sounds.,0,41,To make sound.,soft body,soft bodi,bodi soft
The jaw.,The elytra are used to make sounds.,0,41,To make sound.,jaw,jaw,jaw
To fly.,The elytra are used to make sounds.,0,41,To make sound.,fly,fli,fli
Horn.,The elytra are used to make sounds.,0,41,To make sound.,horn,horn,horn
Protection.,The elytra are used to make sounds.,0,41,To make sound.,protection,protect,protect
To help make the strangulating sound.,The elytra are used to make sounds.,1,41,To make sound.,help strangulating sound,help strangul sound,help sound strangul
Protecting the thorax.,The elytra are used to make sounds.,0,41,To make sound.,protecting thorax,protect thorax,protect thorax
To help strangulate.,The elytra are used to make sounds.,0,41,To make sound.,help strangulate,help strangul,help strangul
Making a sound.,The elytra are used to make sounds.,1,41,To make sound.,making sound,make sound,make sound
Another function is to strangulate or make noises.,The elytra are used to make sounds.,1,41,To make sound.,function strangulate noises,function strangul nois,function nois strangul
Strangulating.,The elytra are used to make sounds.,0,41,To make sound.,strangulating,strangul,strangul
The hard black wing set.,The elytra are used to make sounds.,0,41,To make sound.,hard black wing set,hard black wing set,black hard set wing
Abdomen.,The elytra are used to make sounds.,0,41,To make sound.,abdomen,abdomen,abdomen
Another function of the elytra is to fly.,The elytra are used to make sounds.,0,41,To make sound.,function elytra fly,function elytra fli,elytra fli function
To make noise with wings.,The elytra are used to make sounds.,1,41,To make sound.,noise wings,nois wing,nois wing
Another function for elytra is abdomen.,The elytra are used to make sounds.,0,41,To make sound.,function elytra abdomen,function elytra abdomen,abdomen elytra function
Thorax abdomen.,The elytra are used to make sounds.,0,41,To make sound.,thorax abdomen,thorax abdomen,abdomen thorax
Their wings.,The elytra are used to make sounds.,0,41,To make sound.,wings,wing,wing
Hard skin.,The elytra are used to make sounds.,0,41,To make sound.,hard skin,hard skin,hard skin
The elytra flies. It makes a sound.,The elytra are used to make sounds.,1,41,To make sound.,elytra flies makes sound,elytra fli make sound,elytra fli make sound
When the Bess beetles are crawling in the wood they need something hard to protect itself.,The elytra are used to make sounds.,0,41,To make sound.,bess beetles crawling wood need hard protect,bess beetl crawl wood need hard protect,beetl bess crawl hard need protect wood
Another function is the horn.,The elytra are used to make sounds.,0,41,To make sound.,function horn,function horn,function horn
It scares other animals away.,The elytra are used to make sounds.,0,41,To make sound.,scares animals away,scare anim away,anim away scare
To fly.,The elytra are used to make sounds.,0,41,To make sound.,fly,fli,fli
For protecting inner parts while going through small areas.,The elytra are used to make sounds.,0,41,To make sound.,protecting inner parts going small areas,protect inner part go small area,area go inner part protect small
To protect itself.,The elytra are used to make sounds.,0,41,To make sound.,protect,protect,protect
Another function is to protect the abdomen.,The elytra are used to make sounds.,0,41,To make sound.,function protect abdomen,function protect abdomen,abdomen function protect
The elytra also protects the Bess beetle if it falls on its back.,The elytra are used to make sounds.,0,41,To make sound.,elytra protects bess beetle falls,elytra protect bess beetl fall,beetl bess elytra fall protect
It covers the wings.,The elytra are used to make sounds.,0,41,To make sound.,covers wings,cover wing,cover wing
"The elytra makes sounds. Example danger, Example did you have a good day.",The elytra are used to make sounds.,1,41,To make sound.,elytra makes sounds example danger example good day,elytra make sound exampl danger exampl good day,danger day elytra exampl exampl good make sound
The elytra are used to make sounds.,The elytra are used to make sounds.,1,41,To make sound.,elytra sounds,elytra sound,elytra sound
