wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_sammi,q_stemmed_has_differ,q_stemmed_has_materi,q_stemmed_has_sound,q_stemmed_has_size,q_stemmed_has_wood,q_stemmed_has_similar,q_stemmed_has_sammi_differ,q_stemmed_has_differ_materi,q_stemmed_has_materi_differ,q_stemmed_has_differ_sound,q_stemmed_has_sound_differ,q_stemmed_has_differ_size,q_stemmed_has_size_wood,q_stemmed_has_wood_similar,q_stemmed_has_similar_sound,q_stemmed_has_sammi_differ_materi,q_stemmed_has_differ_materi_differ,q_stemmed_has_materi_differ_sound,q_stemmed_has_differ_sound_differ,q_stemmed_has_sound_differ_size,q_stemmed_has_differ_size_wood,q_stemmed_has_size_wood_similar,q_stemmed_has_wood_similar_sound,q_stem_ordered_has_differ,q_stem_ordered_has_materi,q_stem_ordered_has_sammi,q_stem_ordered_has_similar,q_stem_ordered_has_size,q_stem_ordered_has_sound,q_stem_ordered_has_wood,q_stem_ordered_has_differ_differ,q_stem_ordered_has_differ_materi,q_stem_ordered_has_materi_sammi,q_stem_ordered_has_sammi_similar,q_stem_ordered_has_similar_size,q_stem_ordered_has_size_sound,q_stem_ordered_has_sound_sound,q_stem_ordered_has_sound_wood,q_stem_ordered_has_differ_differ_differ,q_stem_ordered_has_differ_differ_materi,q_stem_ordered_has_differ_materi_sammi,q_stem_ordered_has_materi_sammi_similar,q_stem_ordered_has_sammi_similar_size,q_stem_ordered_has_similar_size_sound,q_stem_ordered_has_size_sound_sound,q_stem_ordered_has_sound_sound_wood
0.5555555555555556,0.5333333333333333,0.0,0.0,0.5333333333333333,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.6666666666666666,0.25,0.4009,0.6666666666666666,0.25,0.4009,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05555555555555555,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8333333333333333,0.7647058823529411,0.17647058823529413,0.3145,0.7647058823529411,0.17647058823529413,0.3145,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3888888888888889,0.6923076923076923,0.23076923076923078,0.378,0.6923076923076923,0.23076923076923078,0.378,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.46153846153846156,0.0,0.0,0.46153846153846156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05555555555555555,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.16666666666666669,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
