wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_car,q_stemmed_has_lot,q_stemmed_has_iron,q_stemmed_has_steel,q_stemmed_has_car_lot,q_stemmed_has_lot_iron,q_stemmed_has_iron_steel,q_stemmed_has_car_lot_iron,q_stemmed_has_lot_iron_steel,q_stem_ordered_has_car,q_stem_ordered_has_iron,q_stem_ordered_has_lot,q_stem_ordered_has_steel,q_stem_ordered_has_car_iron,q_stem_ordered_has_iron_lot,q_stem_ordered_has_lot_steel,q_stem_ordered_has_car_iron_lot,q_stem_ordered_has_iron_lot_steel
0.20000000000000004,0.75,0.75,0.866,0.75,0.75,0.866,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
0.4,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
0.6000000000000001,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0.1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.8888888888888888,0.3333333333333333,0.5303,0.8888888888888888,0.3333333333333333,0.5303,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
0.4,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.5000000000000001,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
0.20000000000000004,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.8,0.75,0.08333333333333333,0.1667,0.75,0.08333333333333333,0.1667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1,0.5,0.5,0.7071,0.5,0.5,0.7071,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.8,0.7777777777777778,0.2222222222222222,0.378,0.7777777777777778,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.6000000000000001,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.20000000000000004,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.20000000000000004,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
0.6000000000000001,0.6363636363636364,0.0,0.0,0.6363636363636364,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
