wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_agre,q_stemmed_has_vibrat,q_stemmed_has_movement,q_stemmed_has_produc,q_stemmed_has_sound,q_stemmed_has_agre_vibrat,q_stemmed_has_vibrat_movement,q_stemmed_has_movement_vibrat,q_stemmed_has_vibrat_produc,q_stemmed_has_produc_sound,q_stemmed_has_agre_vibrat_movement,q_stemmed_has_vibrat_movement_vibrat,q_stemmed_has_movement_vibrat_produc,q_stemmed_has_vibrat_produc_sound,q_stem_ordered_has_agre,q_stem_ordered_has_movement,q_stem_ordered_has_produc,q_stem_ordered_has_sound,q_stem_ordered_has_vibrat,q_stem_ordered_has_agre_movement,q_stem_ordered_has_movement_produc,q_stem_ordered_has_produc_sound,q_stem_ordered_has_sound_vibrat,q_stem_ordered_has_vibrat_vibrat,q_stem_ordered_has_agre_movement_produc,q_stem_ordered_has_movement_produc_sound,q_stem_ordered_has_produc_sound_vibrat,q_stem_ordered_has_sound_vibrat_vibrat
0.6666666666666665,0.6363636363636364,0.09090909090909091,0.169,0.6363636363636364,0.09090909090909091,0.169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0.7777777777777778,0.3333333333333333,0.5071,0.7777777777777778,0.3333333333333333,0.5071,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0.3333333333333333,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.8888888888888888,0.75,0.16666666666666666,0.2981,0.75,0.16666666666666666,0.2981,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.4,0.6325,0.4,0.4,0.6325,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.14285714285714285,0.2582,0.42857142857142855,0.14285714285714285,0.2582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
