wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_compar,q_stemmed_has_print,q_stemmed_has_pattern,q_stemmed_has_compar_print,q_stemmed_has_print_pattern,q_stemmed_has_compar_print_pattern,q_stem_ordered_has_compar,q_stem_ordered_has_pattern,q_stem_ordered_has_print,q_stem_ordered_has_compar_pattern,q_stem_ordered_has_pattern_print,q_stem_ordered_has_compar_pattern_print
0.5,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,1,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,1,0,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,1,0,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.5,0.25,0.4082,0.5,0.25,0.4082,0,1,0,0,0,0,0,0,1,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,0,0,0,0,1,0,1,0,0,0
0.8333333333333334,0.75,0.125,0.2357,0.75,0.125,0.2357,0,1,0,0,0,0,0,0,1,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.8333333333333334,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.75,0.125,0.2357,0.75,0.125,0.2357,0,1,0,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.5,0.25,0.4082,0.5,0.25,0.4082,0,1,0,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,0,0,0,0,1,0,1,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0
0.9999999999999999,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,0,1,0,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
