wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_ye,q_stemmed_has_black,q_stemmed_has_absorb,q_stemmed_has_heat,q_stemmed_has_energi,q_stemmed_has_white,q_stemmed_has_reflect,q_stemmed_has_cover,q_stemmed_has_box,q_stemmed_has_faster,q_stemmed_has_ye_black,q_stemmed_has_black_absorb,q_stemmed_has_absorb_heat,q_stemmed_has_heat_energi,q_stemmed_has_energi_white,q_stemmed_has_white_white,q_stemmed_has_white_reflect,q_stemmed_has_reflect_heat,q_stemmed_has_energi_black,q_stemmed_has_black_black,q_stemmed_has_black_cover,q_stemmed_has_cover_box,q_stemmed_has_box_heat,q_stemmed_has_heat_faster,q_stemmed_has_faster_white,q_stemmed_has_white_cover,q_stemmed_has_ye_black_absorb,q_stemmed_has_black_absorb_heat,q_stemmed_has_absorb_heat_energi,q_stemmed_has_heat_energi_white,q_stemmed_has_energi_white_white,q_stemmed_has_white_white_reflect,q_stemmed_has_white_reflect_heat,q_stemmed_has_reflect_heat_energi,q_stemmed_has_heat_energi_black,q_stemmed_has_energi_black_black,q_stemmed_has_black_black_cover,q_stemmed_has_black_cover_box,q_stemmed_has_cover_box_heat,q_stemmed_has_box_heat_faster,q_stemmed_has_heat_faster_white,q_stemmed_has_faster_white_cover,q_stemmed_has_white_cover_box,q_stem_ordered_has_absorb,q_stem_ordered_has_black,q_stem_ordered_has_box,q_stem_ordered_has_cover,q_stem_ordered_has_energi,q_stem_ordered_has_faster,q_stem_ordered_has_heat,q_stem_ordered_has_reflect,q_stem_ordered_has_white,q_stem_ordered_has_ye,q_stem_ordered_has_absorb_black,q_stem_ordered_has_black_black,q_stem_ordered_has_black_box,q_stem_ordered_has_box_box,q_stem_ordered_has_box_cover,q_stem_ordered_has_cover_cover,q_stem_ordered_has_cover_energi,q_stem_ordered_has_energi_energi,q_stem_ordered_has_energi_faster,q_stem_ordered_has_faster_heat,q_stem_ordered_has_heat_heat,q_stem_ordered_has_heat_reflect,q_stem_ordered_has_reflect_white,q_stem_ordered_has_white_white,q_stem_ordered_has_white_ye,q_stem_ordered_has_absorb_black_black,q_stem_ordered_has_black_black_black,q_stem_ordered_has_black_black_box,q_stem_ordered_has_black_box_box,q_stem_ordered_has_box_box_cover,q_stem_ordered_has_box_cover_cover,q_stem_ordered_has_cover_cover_energi,q_stem_ordered_has_cover_energi_energi,q_stem_ordered_has_energi_energi_faster,q_stem_ordered_has_energi_faster_heat,q_stem_ordered_has_faster_heat_heat,q_stem_ordered_has_heat_heat_heat,q_stem_ordered_has_heat_heat_reflect,q_stem_ordered_has_heat_reflect_white,q_stem_ordered_has_reflect_white_white,q_stem_ordered_has_white_white_white,q_stem_ordered_has_white_white_ye
0.3333333333333333,0.5833333333333334,0.4166666666666667,0.5976,0.5833333333333334,0.4166666666666667,0.5976,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5333333333333334,0.7692307692307693,0.5384615384615384,0.7,0.7692307692307693,0.5384615384615384,0.7,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.3333333333333333,0.6363636363636364,0.5454545454545454,0.7171,0.6363636363636364,0.5454545454545454,0.7171,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6666666666666667,0.7692307692307693,0.5384615384615384,0.7,0.7692307692307693,0.5384615384615384,0.7,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.6875,0.3125,0.4767,0.6875,0.3125,0.4767,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4666666666666666,0.6,0.26666666666666666,0.4216,0.6,0.26666666666666666,0.4216,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13333333333333336,0.35714285714285715,0.07142857142857142,0.1414,0.35714285714285715,0.07142857142857142,0.1414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.5,0.7071,0.5,0.5,0.7071,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39999999999999997,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
