student_answer,teacher_answer,label,question_id
She can do a scratch test and see which one is harder.,Rub the minerals together and see which one scratches the other.,0,60
Scratch one against the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together.,Rub the minerals together and see which one scratches the other.,0,60
By scratching them.,Rub the minerals together and see which one scratches the other.,0,60
Rubbing them together.,Rub the minerals together and see which one scratches the other.,0,60
Scratch them together.,Rub the minerals together and see which one scratches the other.,1,60
Scratch them against each other.,Rub the minerals together and see which one scratches the other.,1,60
Use her fingernail.,Rub the minerals together and see which one scratches the other.,0,60
A rock scratch.,Rub the minerals together and see which one scratches the other.,0,60
Use your fingernail.,Rub the minerals together and see which one scratches the other.,0,60
Scratch the 2 together.,Rub the minerals together and see which one scratches the other.,1,60
Scratch one against the other.,Rub the minerals together and see which one scratches the other.,1,60
She can use her nail and penny.,Rub the minerals together and see which one scratches the other.,0,60
Scratch them together.,Rub the minerals together and see which one scratches the other.,1,60
Georgia could rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Scratch them together.,Rub the minerals together and see which one scratches the other.,1,60
Scratch the minerals together.,Rub the minerals together and see which one scratches the other.,1,60
From scratching with another minerals.,Rub the minerals together and see which one scratches the other.,0,60
She can scratch them together and the one with the mark is the soft one.,Rub the minerals together and see which one scratches the other.,1,60
She can scratch it together and look and see which leave a scratch.,Rub the minerals together and see which one scratches the other.,1,60
She could rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Georgia could rub them together.,Rub the minerals together and see which one scratches the other.,1,60
She could rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Scratch the 2 rocks together.,Rub the minerals together and see which one scratches the other.,1,60
By rubbing them together and touching them.,Rub the minerals together and see which one scratches the other.,0,60
With her nail.,Rub the minerals together and see which one scratches the other.,0,60
Rub them together.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together.,Rub the minerals together and see which one scratches the other.,0,60
Rubbing them together.,Rub the minerals together and see which one scratches the other.,0,60
"She can rub them together and switch, if there is a mark on it and it goes away, it is hard.",Rub the minerals together and see which one scratches the other.,1,60
Rub them together to see if scratch the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together.,Rub the minerals together and see which one scratches the other.,0,60
"Rub them together, see which will scratch the other.",Rub the minerals together and see which one scratches the other.,1,60
Rub them together and see if you can scratch it harder.,Rub the minerals together and see which one scratches the other.,1,60
Rub them together and see if one scratches the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub them to see if one scratches the other.,Rub the minerals together and see which one scratches the other.,1,60
Rub the minerals together and see which one scratches the other.,Rub the minerals together and see which one scratches the other.,1,60
