student_answer,teacher_answer,label,question_id
It will not get light because the negative is getting to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It will not light because one wire has to go in one side and one wire has to go in the other.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
There is not 2 wires for each little clip. There needs to be one coming from one clip and another coming from the other clip.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
The bulb will not light because one of the wires have to touch the other clip.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
Because the electricity is going to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The bulb will not light because there is not enough electricity.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It will not because there has to be a wire in each wire holder.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
The cord from the battery is not on both sides.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
Because the bulb will not have enough energy because of the light bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
Because the positive wire is taking the energy right away.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
"Because, the electricity goes through the wrong way the second time.","The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
There are 2 wires that should not be there the motor wires.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It going in a coil.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The wires are not even.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It is not connected properly because the wires are not connected properly on the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The bulb will no because the other wire is not connected.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
There is not enough energy.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The battery does not have enough power or the power is not getting to the bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The motor is not running.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It will not light because when the electricity cannot flow through the wires.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The bulb will not light up because they are all not connected and this does not make a circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
Because it is not in a circle.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It is in both the same circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The light bulb needs both plus and minus to be on different parts of the holder.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
It is not connected.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
More power goes to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The wires are not connecting to the bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The bulb will not light because the positive and negative wires are hooked on the same hook.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
It does not work because the wire are not propel on the spring thing.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
Yes even though it is not a complete circuit.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
No because both wires are on both place.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
Some of the wires are disconnect.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
It will not light because the bulbs wires are not connected to both sockets.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
Because the motor got all the power.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
Because one side is hooked to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
The bulb will not work because the negative and the positive cannot go in the same way.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72
"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.","The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72
